model,test_set,selection_metric,budget,acc,acc_hat,failures,rmse,retrain_acc,acc_improvement
lenet1,mnist,rnd,150,0.9486,0.94,9,0.008600000000000052,0.988020304568528,0.03928934010152285
lenet1,mnist,rnd,200,0.9486,0.95,10,0.0013999999999999568,0.9862244897959184,0.03765306122448975
lenet1,mnist,ent,50,0.9486,0.42,29,0.5286,0.9886432160804021,0.037386934673366845
lenet1,mnist,ent,100,0.9486,0.45,55,0.4986,0.9895959595959596,0.03595959595959597
lenet1,mnist,ent,150,0.9486,0.47333333333333333,79,0.47526666666666667,0.9884263959390863,0.032588832487309705
lenet1,mnist,ent,200,0.9486,0.53,94,0.41859999999999997,0.9894897959183674,0.0323469387755102
lenet1,mnist,gini,50,0.9486,0.34,33,0.6086,0.9886432160804021,0.036984924623115645
lenet1,mnist,gini,100,0.9486,0.44,56,0.5085999999999999,0.9887878787878788,0.035050505050505
lenet1,mnist,gini,150,0.9486,0.4666666666666667,80,0.4819333333333333,0.9883248730964467,0.032385786802030414
lenet1,mnist,gini,200,0.9486,0.47,106,0.4786,0.9903061224489796,0.03193877551020419
lenet1,mnist,dat,50,0.9486,0.98,1,0.031399999999999983,0.9906532663316583,0.042211055276381915
lenet1,mnist,dat,100,0.9486,0.95,5,0.0013999999999999568,0.9897979797979798,0.041212121212121255
lenet1,mnist,dat,150,0.9486,0.96,6,0.011399999999999966,0.9889340101522842,0.04050761421319793
lenet1,mnist,dat,200,0.9486,0.945,11,0.0036000000000000476,0.9874489795918368,0.038775510204081653
lenet1,mnist,gd,50,0.9486,0.92,4,0.02859999999999996,0.9908542713567839,0.04211055276381914
lenet1,mnist,gd,100,0.9486,0.95,5,0.0013999999999999568,0.9892929292929293,0.0407070707070708
lenet1,mnist,gd,150,0.9486,0.9266666666666666,11,0.02193333333333336,0.9899492385786802,0.04101522842639593
lenet1,mnist,gd,200,0.9486,0.96,8,0.011399999999999966,0.9886734693877551,0.040306122448979576
lenet1,mnist,kmnc,50,0.9486,1.0,0,0.0514,0.9866331658291457,0.03829145728643213
lenet1,mnist,kmnc,100,0.9486,0.97,3,0.021399999999999975,0.9877777777777778,0.039393939393939426
lenet1,mnist,kmnc,150,0.9486,0.9666666666666667,5,0.018066666666666675,0.9881218274111675,0.039796954314720745
lenet1,mnist,kmnc,200,0.9486,0.965,7,0.01639999999999997,0.9894897959183674,0.04122448979591842
lenet1,mnist,nac,50,0.9486,0.98,1,0.031399999999999983,0.9890452261306533,0.04060301507537689
lenet1,mnist,nac,100,0.9486,0.96,4,0.011399999999999966,0.9885858585858586,0.04010101010101008
lenet1,mnist,nac,150,0.9486,0.96,6,0.011399999999999966,0.9873096446700508,0.03888324873096449
lenet1,mnist,nac,200,0.9486,0.955,9,0.006399999999999961,0.9889795918367347,0.04051020408163264
lenet1,mnist,lsa,50,0.9486,0.94,3,0.008600000000000052,0.9892462311557789,0.04060301507537689
lenet1,mnist,lsa,100,0.9486,0.96,4,0.011399999999999966,0.9888888888888889,0.04040404040404044
lenet1,mnist,lsa,150,0.9486,0.9533333333333334,7,0.004733333333333367,0.988020304568528,0.03949238578680203
lenet1,mnist,lsa,200,0.9486,0.945,11,0.0036000000000000476,0.988265306122449,0.03959183673469391
lenet1,mnist,dsa,50,0.9486,0.58,21,0.36860000000000004,0.9883417085427135,0.03788944723618082
lenet1,mnist,dsa,100,0.9486,0.65,35,0.2986,0.98989898989899,0.03828282828282836
lenet1,mnist,dsa,150,0.9486,0.6333333333333333,55,0.3152666666666667,0.989746192893401,0.03634517766497469
lenet1,mnist,dsa,200,0.9486,0.65,70,0.2986,0.9906122448979592,0.03591836734693876
lenet1,mnist,std,50,0.9486,0.92,4,0.02859999999999996,0.9907537688442211,0.04201005025125626
lenet1,mnist,std,100,0.9486,0.95,5,0.0013999999999999568,0.9890931125025247,0.04049686931932939
lenet1,mnist,std,150,0.9486,0.9666666666666667,5,0.018066666666666675,0.9888358875469401,0.040495280625190366
lenet1,mnist,std,200,0.9486,0.975,5,0.02639999999999998,0.9899010506987657,0.041823931449556206
lenet1,mnist,pace,50,0.9486,0.96,2,0.011399999999999966,0.989145728643216,0.04060301507537689
lenet1,mnist,pace,100,0.9486,0.97,3,0.021399999999999975,0.9896969696969697,0.04131313131313141
lenet1,mnist,pace,150,0.9486,0.9466666666666667,8,0.0019333333333333425,0.9884263959390863,0.039796954314720856
lenet1,mnist,pace,200,0.9486,0.96,8,0.011399999999999966,0.9880612244897959,0.039693877551020385
