model,test_set,selection_metric,budget,mse
epoch,udacity,std,100,0.03826179355382919
epoch,udacity,std,150,0.04480237886309624
epoch,udacity,std,200,0.05072794482111931
epoch,udacity_C,rnd,50,0.028450513258576393
epoch,udacity_C,rnd,100,0.023589204996824265
epoch,udacity_C,rnd,150,0.02369646541774273
epoch,udacity_C,rnd,200,0.049790456891059875
epoch,udacity_C,ent,50,0.04402661696076393
epoch,udacity_C,ent,100,0.047152962535619736
epoch,udacity_C,ent,150,0.05691787227988243
epoch,udacity_C,ent,200,0.065151147544384
epoch,udacity_C,gini,50,0.03252726420760155
epoch,udacity_C,gini,100,0.023659219965338707
epoch,udacity_C,gini,150,0.01947426050901413
epoch,udacity_C,gini,200,0.017181266099214554
epoch,udacity_C,gd,50,0.034253861755132675
epoch,udacity_C,gd,100,0.02117343246936798
epoch,udacity_C,gd,150,0.028331242501735687
epoch,udacity,ces,100,0.07600536197423935
epoch,udacity_C,gd,200,0.05196697637438774
epoch,udacity_C,std,50,0.03888082504272461
epoch,udacity_C,std,100,0.046340230852365494
epoch,udacity_C,std,150,0.06866224855184555
epoch,udacity_C,std,200,0.05839024484157562
epoch,udacity_label,rnd,50,0.03692387416958809
epoch,udacity_label,rnd,100,0.036798588931560516
epoch,udacity_label,rnd,150,0.04123580828309059
epoch,udacity_label,rnd,200,0.0450359471142292
epoch,udacity_label,ent,50,0.03742652013897896
epoch,udacity_label,ent,100,0.0452859029173851
epoch,udacity_label,ent,150,0.03760616108775139
epoch,udacity_label,ent,200,0.03296303004026413
epoch,udacity_label,gini,50,0.08337021619081497
epoch,udacity_label,gini,100,0.07507404685020447
epoch,udacity_label,gini,150,0.06621810048818588
epoch,udacity_label,gini,200,0.06513148546218872
epoch,udacity_label,gd,50,0.0394318550825119
epoch,udacity_label,gd,100,0.03375422582030296
epoch,udacity_label,gd,150,0.04198700189590454
epoch,udacity_label,gd,200,0.03965902701020241
epoch,udacity_label,std,50,0.08197444677352905
epoch,udacity_label,std,100,0.09398271888494492
epoch,udacity_label,std,150,0.10941211879253387
epoch,udacity_label,std,200,0.11439847946166992
epoch,udacity_adv,rnd,50,0.5007496476173401
epoch,udacity_adv,rnd,100,0.4800633490085602
epoch,udacity_adv,rnd,150,0.442674458026886
epoch,udacity_adv,rnd,200,0.5069100856781006
epoch,udacity_adv,ent,50,0.11710502952337265
epoch,udacity_adv,ent,100,0.12725044786930084
epoch,udacity,ces,150,0.07647638767957687
epoch,udacity_adv,ent,150,0.13840816915035248
epoch,udacity_adv,ent,200,0.15899302065372467
epoch,udacity_adv,gini,50,0.023020006716251373
epoch,udacity_adv,gini,100,0.024121219292283058
epoch,udacity_adv,gini,150,0.021091638132929802
epoch,udacity_adv,gini,200,0.021724162623286247
epoch,udacity_adv,gd,50,0.34644415974617004
epoch,udacity_adv,gd,100,0.3909573256969452
epoch,udacity_adv,gd,150,0.4928784668445587
epoch,udacity_adv,gd,200,0.49250587821006775
epoch,udacity_adv,std,50,0.4801155924797058
epoch,udacity_adv,std,100,0.4174461364746094
epoch,udacity_adv,std,150,0.3717423379421234
epoch,udacity_adv,std,200,0.4251406490802765
epoch,udacity_dave,rnd,50,0.02302364818751812
epoch,udacity_dave,rnd,100,0.021599946543574333
epoch,udacity_dave,rnd,150,0.014174089767038822
epoch,udacity_dave,rnd,200,0.014459935016930103
epoch,udacity_dave,ent,50,0.012399846687912941
epoch,udacity_dave,ent,100,0.011349217966198921
epoch,udacity_dave,ent,150,0.011767659336328506
epoch,udacity_dave,ent,200,0.017452890053391457
epoch,udacity_dave,gini,50,0.009295242838561535
epoch,udacity,ces,200,0.07119136303663254
epoch,udacity_dave,gini,100,0.009889618493616581
epoch,udacity,est,50,0.026759743690490723
epoch,udacity_dave,gini,150,0.010289233177900314
epoch,udacity,est,100,0.02982860803604126
epoch,udacity_dave,gini,200,0.008343680761754513
epoch,udacity,est,150,0.03184837847948074
epoch,udacity,est,200,0.03180602192878723
epoch,udacity_C,pace,50,0.0379934124648571
epoch,udacity_dave,gd,50,0.022494738921523094
epoch,udacity_dave,gd,100,0.01606941595673561
epoch,udacity_C,pace,100,0.044731996953487396
epoch,udacity_dave,gd,150,0.01601484790444374
epoch,udacity_dave,gd,200,0.018169647082686424
epoch,udacity_dave,std,50,0.03133639320731163
epoch,udacity_dave,std,100,0.03545369207859039
epoch,udacity_dave,std,150,0.02923273667693138
epoch,udacity_dave,std,200,0.025803234428167343
epoch,udacity_C,pace,150,0.036467041820287704
epoch,udacity_C,pace,200,0.04228910803794861
epoch,udacity_C,dr,50,0.015547189861536026
epoch,udacity_C,dr,100,0.016986437141895294
