model,test_set,selection_metric,budget,accuracy
lenet5,mnist,mcp,100,0.6200000047683716
lenet5,mnist,mcp,150,0.6000000238418579
lenet5,mnist,mcp,200,0.6349999904632568
lenet5,mnist,est,50,0.5400000214576721
lenet5,mnist,est,100,0.5799999833106995
lenet5,mnist,est,150,0.5799999833106995
lenet5,mnist,est,200,0.6200000047683716
lenet1,mnist,rnd,50,0.9800000190734863
lenet1,mnist,rnd,100,0.9399999976158142
lenet1,mnist,rnd,150,0.9733333587646484
lenet1,mnist,rnd,200,0.949999988079071
lenet1,mnist,ent,50,0.41999998688697815
lenet1,mnist,ent,100,0.44999998807907104
lenet1,mnist,ent,150,0.47333332896232605
lenet1,mnist,ent,200,0.5299999713897705
lenet1,mnist,gini,50,0.3400000035762787
lenet1,mnist,gini,100,0.4399999976158142
lenet1,mnist,gini,150,0.46666666865348816
lenet1,mnist,gini,200,0.4699999988079071
lenet1,mnist,pace,50,0.9399999976158142
lenet1,mnist,pace,100,0.8799999952316284
lenet1,mnist,pace,150,0.846666693687439
lenet1,mnist,pace,200,0.8399999737739563
lenet4,mnist,pace,50,0.9599999785423279
lenet4,mnist,pace,100,0.9100000262260437
lenet4,mnist,pace,150,0.9133333563804626
lenet4,mnist,pace,200,0.8949999809265137
lenet5,mnist,pace,50,0.9599999785423279
lenet5,mnist,pace,100,0.9599999785423279
lenet5,mnist,pace,150,0.9399999976158142
lenet5,mnist,pace,200,0.9449999928474426
