Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold
19,0.3138682246208191,0.21605635621289496,0.26496229041685704,65,11,udacity_label,lsa,100,epoch,0.087
17,0.33319228887557983,0.244881094966689,0.2890366919211344,90,3,udacity_label,lsa,150,epoch,0.087
18,0.4669339954853058,0.3204942858244449,0.3937141406548753,124,0,udacity_label,lsa,200,epoch,0.087
5,0.22501523792743683,0.07736836380550038,0.1511918008664686,34,0,udacity_label,std,50,epoch,0.087
13,0.2707352638244629,0.1190837849603907,0.1949095243924268,59,6,udacity_label,std,100,epoch,0.087
23,0.42355895042419434,0.3264362351455997,0.374997592784897,87,5,udacity_label,std,150,epoch,0.087
29,0.4327458143234253,0.2893486942309831,0.3610472542772042,121,10,udacity_label,std,200,epoch,0.087
6,0.24515867233276367,0.26984033432403715,0.25749950332840044,26,3,udacity_label,pace,50,epoch,0.087
8,0.19632500410079956,0.0777149784700607,0.13701999128543013,54,0,udacity_label,pace,100,epoch,0.087
22,0.3699570894241333,0.29444961717993173,0.33220335330203254,82,3,udacity_label,pace,150,epoch,0.087
24,0.4631158709526062,0.3502677258697126,0.40669179841115943,112,4,udacity_label,pace,200,epoch,0.087
6,0.24883681535720825,0.15503417394685465,0.20193549465203145,22,3,udacity_label,dr,50,epoch,0.131
12,0.29319342970848083,0.2474664352605851,0.27032993248453296,43,2,udacity_label,dr,100,epoch,0.131
17,0.3416423201560974,0.33324466115842893,0.3374434906572632,60,5,udacity_label,dr,150,epoch,0.131
20,0.3886496424674988,0.2899971831264239,0.3393234127969613,75,3,udacity_label,dr,200,epoch,0.131
8,0.26288512349128723,0.20066083218762007,0.23177297783945366,30,6,udacity_label,ces,50,epoch,0.131
13,0.305090993642807,0.18456714429207402,0.2448290689674405,44,7,udacity_label,ces,100,epoch,0.131
12,0.5555469393730164,0.4561086861144514,0.5058278127437339,71,3,udacity_label,ces,150,epoch,0.131
22,0.3874329626560211,0.2886180839384378,0.33802552329722946,89,7,udacity_label,ces,200,epoch,0.131
6,0.23255982995033264,,,19,1,udacity_label,est,50,epoch,0.131
9,0.33953556418418884,0.21693570773001117,0.2782356359571,39,4,udacity_label,est,100,epoch,0.131
13,0.31816038489341736,0.2946112510279163,0.30638581796066683,64,2,udacity_label,est,150,epoch,0.131
20,0.42994776368141174,0.33512599081832345,0.3825368772498676,102,10,udacity_label,est,200,epoch,0.131
5,0.19408993422985077,0.04038365650317692,0.11723679536651385,22,0,udacity_label,rnd,50,epoch,0.131
17,0.349533349275589,0.25027383054571023,0.2999035899106496,57,9,udacity_label,rnd,100,epoch,0.131
13,0.3688732087612152,0.29909765026123436,0.3339854295112248,68,5,udacity_label,rnd,150,epoch,0.131
15,0.3944040834903717,0.38293487278955696,0.38866947813996433,89,4,udacity_label,rnd,200,epoch,0.131
