Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold,Config
23,0.5256832838058472,0.3600866669222977,0.44288497536407245,133,5,udacity,nac,150,dave2v1,0.044,
30,0.4828746020793915,0.4406573621556739,0.4617659821175327,179,15,udacity,nac,200,dave2v1,0.044,
10,0.32271724939346313,,,43,1,udacity,lsa,50,dave2v1,0.044,
12,0.4682036340236664,0.27064274031358265,0.36942318716862454,87,3,udacity,lsa,100,dave2v1,0.044,
18,0.5128640532493591,0.46033186699085094,0.48659796012010503,136,5,udacity,lsa,150,dave2v1,0.044,
19,0.47842898964881897,0.4486993499506744,0.4635641697997467,183,5,udacity,lsa,200,dave2v1,0.044,
11,0.26628121733665466,0.25109067049884776,0.25868594391775124,37,3,udacity,std,50,dave2v1,0.044,
16,0.32863104343414307,0.279102667495486,0.3038668554648145,83,6,udacity,std,100,dave2v1,0.044,
22,0.3572489619255066,0.3036809299566101,0.33046494594105835,115,7,udacity,std,150,dave2v1,0.044,
34,0.33949014544487,0.23831732562622482,0.2889037355355474,155,14,udacity,std,200,dave2v1,0.044,
10,0.20920658111572266,0.09344767381851585,0.15132712746711924,35,10,udacity,pace,50,dave2v1,0.044,
21,0.3537959158420563,0.2507531223661646,0.3022745191041104,80,3,udacity,pace,100,dave2v1,0.044,
31,0.28821030259132385,0.20275511306888663,0.24548270783010523,119,14,udacity,pace,150,dave2v1,0.044,
28,0.3571277856826782,0.23787563853358729,0.29750171210813275,157,14,udacity,pace,200,dave2v1,0.044,
6,0.31538939476013184,0.2125080078183514,0.26394870128924164,25,2,udacity,dr,50,dave2v1,0.087,
8,0.3565090596675873,0.14508115420619283,0.25079510693689006,55,8,udacity,dr,100,dave2v1,0.087,
18,0.4068768620491028,0.3691349431289472,0.388005902589025,82,7,udacity,dr,150,dave2v1,0.087,
23,0.3457657992839813,0.2087142360787456,0.27724001768136347,116,10,udacity,dr,200,dave2v1,0.087,
8,0.1890108287334442,0.06030381826310089,0.12465732349827255,35,10,udacity,ces,50,dave2v1,0.087,
16,0.2666972577571869,0.29698444749373015,0.28184085262545855,80,7,udacity,ces,100,dave2v1,0.087,
17,0.3048000931739807,,,108,1,udacity,ces,150,dave2v1,0.087,
6,-0.08885857462882996,0.02716295034689931,-0.030847812140965325,138,5,udacity,ces,200,dave2v1,0.087,
9,0.233377605676651,0.25909832831504553,0.24623796699584827,28,3,udacity,est,50,dave2v1,0.087,
20,0.3343653678894043,0.24827044909973062,0.29131790849456746,74,7,udacity,est,100,dave2v1,0.087,
28,0.3880354166030884,0.2667873110805413,0.32741136384181485,111,10,udacity,est,150,dave2v1,0.087,
31,0.42161983251571655,0.3333261918521054,0.37747301218391094,135,4,udacity,est,200,dave2v1,0.087,
10,0.237925186753273,0.3551506687017087,0.2965379277274909,27,5,udacity,rnd,50,dave2v1,0.087,
16,0.20852544903755188,0.10094723605299888,0.15473634254527538,54,11,udacity,rnd,100,dave2v1,0.087,
22,0.30153751373291016,0.22872748395365977,0.26513249884328494,98,5,udacity,rnd,150,dave2v1,0.087,
27,0.41815394163131714,0.246603677435494,0.3323788095334056,128,5,udacity,rnd,200,dave2v1,0.087,
12,0.3007834851741791,0.15633989365005851,0.2285616894121188,41,10,udacity,ent,50,dave2v1,0.087,
16,0.4944652318954468,0.33079956095213864,0.4126323964237927,82,2,udacity,ent,100,dave2v1,0.087,
